,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,thompson,55.74,-97.86,12,76,75,2.1,CA,1598727318
1,banda aceh,5.56,95.32,26.61,78,91,1.67,ID,1598727318
2,carutapera,-1.2,-46.02,29.66,63,28,5.44,BR,1598727318
3,khatanga,71.97,102.5,9.53,74,62,3.69,RU,1598727318
4,carnarvon,-24.87,113.63,16,67,0,5.7,AU,1598727180
5,mattru,7.62,-11.83,23.03,96,100,1.51,SL,1598727319
6,barrow,71.29,-156.79,3,74,90,7.2,US,1598727319
7,port alfred,-33.59,26.89,11.98,63,28,8.13,ZA,1598727319
8,mataura,-46.19,168.86,9.27,80,93,3,NZ,1598727319
9,shingu,33.73,135.98,24.43,88,0,1.67,JP,1598727319
10,atuona,-9.8,-139.03,26.14,77,2,8.53,PF,1598727319
11,ribeira grande,38.52,-28.7,26,83,40,5.7,PT,1598727320
12,naze,28.37,129.48,27,94,75,2.1,JP,1598727219
13,jamestown,42.1,-79.24,22.78,77,90,8.7,US,1598727172
14,cape town,-33.93,18.42,9.44,75,40,6.7,ZA,1598727320
15,punta arenas,-53.15,-70.92,4,86,75,14.4,CL,1598727320
16,bredasdorp,-34.53,20.04,6,93,100,3.6,ZA,1598727183
17,henties bay,-22.12,14.28,13.89,79,0,2.24,NA,1598727320
18,coquimbo,-29.95,-71.34,16,55,92,6.7,CL,1598727320
19,potosi,-19.58,-65.75,17.87,17,0,2.94,BO,1598727321
20,malinyi,-8.93,36.13,22.94,63,24,1.09,TZ,1598727321
21,mahebourg,-20.41,57.7,22,73,75,7.2,MU,1598727321
22,beloha,-25.17,45.05,24.06,57,56,1.97,MG,1598727321
23,ilulissat,69.22,-51.1,10,62,75,2.6,GL,1598727321
24,antofagasta,-23.65,-70.4,15,67,20,6.2,CL,1598727226
25,puerto ayora,-0.74,-90.35,24,64,96,11.3,EC,1598727321
26,kavieng,-2.57,150.8,27.93,78,48,7.26,PG,1598727322
27,hualmay,-11.1,-77.61,19.27,68,22,4.94,PE,1598727322
28,taolanaro,NA,NA,NA,NA,NA,NA,NA,NA
29,galesong,-5.32,119.37,25,83,20,0.5,ID,1598727048
30,belushya guba,NA,NA,NA,NA,NA,NA,NA,NA
31,wenling,28.37,121.36,27.78,91,2,0.97,CN,1598727322
32,boa vista,2.82,-60.67,30,62,75,3.6,BR,1598727322
33,sao gabriel da cachoeira,-0.13,-67.09,28.12,72,88,2.3,BR,1598727322
34,ushuaia,-54.8,-68.3,1,80,75,8.2,AR,1598727023
35,hilo,19.73,-155.09,26,65,20,2.1,US,1598727323
36,new norfolk,-42.78,147.06,12.78,57,100,0.45,AU,1598727060
37,mar del plata,-38,-57.56,10,57,20,7.7,AR,1598727089
38,rikitea,-23.12,-134.97,21.11,65,81,2.86,PF,1598727170
39,khrebtovaya,56.7,104.25,9.72,94,12,1.08,RU,1598727323
40,kodiak,57.79,-152.41,13,76,90,6.2,US,1598727240
41,taseyevo,57.22,94.9,10.36,94,0,1.06,RU,1598727323
42,faanui,-16.48,-151.75,25.42,79,78,11.13,PF,1598727181
43,katobu,-4.94,122.53,23.01,86,96,1.92,ID,1598727324
44,halalo,NA,NA,NA,NA,NA,NA,NA,NA
45,rawannawi,NA,NA,NA,NA,NA,NA,NA,NA
46,vaini,-21.2,-175.2,23,88,20,3.6,TO,1598727324
47,lavrentiya,65.58,-171,7.33,73,50,4.56,RU,1598727191
48,meridian,43.61,-116.39,30,28,1,3.6,US,1598727076
49,bluff,-46.6,168.33,11.29,79,80,14.5,NZ,1598727173
50,aklavik,68.22,-135.01,9,81,40,2.1,CA,1598727324
51,fort nelson,58.81,-122.7,5,86,90,7.7,CA,1598727204
52,bossembele,NA,NA,NA,NA,NA,NA,NA,NA
53,dikson,73.51,80.55,5.97,99,100,4.76,RU,1598727324
54,butaritari,3.07,172.79,28.15,72,29,5.15,KI,1598727325
55,lebu,-37.62,-73.65,9.36,61,0,7.29,CL,1598727202
56,vestmanna,62.16,-7.17,9,87,100,4.1,FO,1598727325
57,nizhneyansk,NA,NA,NA,NA,NA,NA,NA,NA
58,novoagansk,61.94,76.66,12.36,90,0,0.89,RU,1598727325
59,busselton,-33.65,115.33,5,72,63,3.45,AU,1598727325
60,iqaluit,63.75,-68.51,13,62,40,8.7,CA,1598727325
61,visby,57.64,18.3,17.22,87,5,3.6,SE,1598727326
62,saint-joseph,-21.37,55.62,22,73,32,6.2,RE,1598727326
63,pacific grove,36.62,-121.92,19,63,20,2.6,US,1598727072
64,amderma,NA,NA,NA,NA,NA,NA,NA,NA
65,port blair,11.67,92.75,27.94,78,2,2.29,IN,1598727326
66,broken hill,-31.95,141.43,17,29,12,7.2,AU,1598727326
67,satitoa,NA,NA,NA,NA,NA,NA,NA,NA
68,mount gambier,-37.83,140.77,15,32,40,9.3,AU,1598727327
69,esperance,-33.87,121.9,8,87,75,2.6,AU,1598727190
70,saldanha,-33.01,17.94,7,70,0,2.6,ZA,1598727327
71,moquegua,-17.2,-70.94,18,77,90,3.1,PE,1598727327
72,portree,57.41,-6.19,10.56,71,100,0.45,GB,1598727327
73,qaanaaq,77.48,-69.36,4.31,69,0,1.29,GL,1598727327
74,bengkulu,-3.8,102.27,24.66,86,97,1.73,ID,1598727328
75,port lincoln,-34.73,135.87,13.89,72,50,7.43,AU,1598727328
76,gat,31.61,34.76,28.89,77,0,2.17,IL,1598727328
77,albany,42.6,-73.97,25,86,76,3.48,US,1598727172
78,damaturu,11.75,11.96,26.14,70,100,1.21,NG,1598727328
79,merauke,-8.47,140.33,25.6,84,95,7.24,ID,1598727328
80,yeppoon,-23.13,150.73,16,67,90,3.1,AU,1598727328
81,morondava,-20.28,44.28,23.38,87,0,3.05,MG,1598727329
82,torbay,47.67,-52.73,20,52,40,8.2,CA,1598727329
83,kuching,1.55,110.33,23,100,20,1,MY,1598727329
84,abu samrah,35.3,37.18,27.68,17,0,1.32,SY,1598727329
85,ngukurr,NA,NA,NA,NA,NA,NA,NA,NA
86,alice springs,-23.7,133.88,9,24,0,2.11,AU,1598727329
87,hobart,-42.88,147.33,12.78,58,100,4.6,AU,1598727246
88,provideniya,64.38,-173.3,9.37,77,85,5.21,RU,1598727187
89,hermanus,-34.42,19.23,5.56,89,98,0.45,ZA,1598727245
90,port hardy,50.7,-127.42,16,67,40,4.1,CA,1598727206
91,hobbs,32.7,-103.14,36.67,18,5,8.2,US,1598727330
92,saint george,37.1,-113.58,32.78,22,1,4.1,US,1598727319
93,avarua,-21.21,-159.78,24,78,0,7.2,CK,1598727330
94,omboue,-1.57,9.26,23.9,84,100,4.61,GA,1598727330
95,xining,36.62,101.77,9.23,84,100,1.74,CN,1598727330
96,husavik,66.04,-17.34,11,71,75,2.6,IS,1598727189
97,sjenica,43.27,20,17.66,62,0,1.46,RS,1598727331
98,longyearbyen,78.22,15.64,5,87,75,7.2,SJ,1598727222
99,mahajanga,-15.72,46.32,23,78,0,1,MG,1598727331
100,ilo,-17.64,-71.34,18,77,90,3.1,PE,1598727331
101,alotau,NA,NA,NA,NA,NA,NA,NA,NA
102,saurimo,-9.66,20.39,24.22,48,64,1.07,AO,1598727331
103,touros,-5.2,-35.46,28,65,40,7.7,BR,1598727331
104,bambous virieux,-20.34,57.76,22,73,75,7.2,MU,1598727332
105,codrington,-38.27,141.97,15.11,35,100,10.35,AU,1598727187
